Image Index,TOF,Lambda,MeanI
189,0.01888864,3.510871681,0.06483459473
190,0.018904,3.513726676,0.0655670166
191,0.01891936,3.516581672,0.06728363037
192,0.01893472,3.519436668,0.06387710571
193,0.01895008,3.522291664,0.06789016724
194,0.01896544,3.52514666,0.06676864624
195,0.0189808,3.528001656,0.06928253174
196,0.01899616,3.530856652,0.06925582886
197,0.01901152,3.533711647,0.07224273682
198,0.01902688,3.536566643,0.07474517822
199,0.01904224,3.539421639,0.07353591919
200,0.0190576,3.542276635,0.07632827759
201,0.01907296,3.545131631,0.07585525513
202,0.01908832,3.547986627,0.07848358154
203,0.01910368,3.550841623,0.07937240601
204,0.01911904,3.553696618,0.08163833618
205,0.0191344,3.556551614,0.08488464355
206,0.01914976,3.55940661,0.08693695068
207,0.01916512,3.562261606,0.08908462524
208,0.01918048,3.565116602,0.09074401855
209,0.01919584,3.567971598,0.09448623657
210,0.0192112,3.570826594,0.1006317139
211,0.01922656,3.57368159,0.1013298035
212,0.01924192,3.576536585,0.1051063538
213,0.01925728,3.579391581,0.1072349548
214,0.01927264,3.582246577,0.1154403687
215,0.019288,3.585101573,0.1103477478
216,0.01930336,3.587956569,0.1213035583
217,0.01931872,3.590811565,0.1243972778
218,0.01933408,3.593666561,0.1283988953
219,0.01934944,3.596521556,0.1269798279
220,0.0193648,3.599376552,0.1267662048
221,0.01938016,3.602231548,0.1360855103
222,0.01939552,3.605086544,0.138343811
223,0.01941088,3.60794154,0.1439094543
224,0.01942624,3.610796536,0.1462173462
225,0.0194416,3.613651532,0.1519241333
226,0.01945696,3.616506527,0.1518936157
227,0.01947232,3.619361523,0.1618232727
228,0.01948768,3.622216519,0.1677894592
229,0.01950304,3.625071515,0.1632118225
230,0.0195184,3.627926511,0.1768875122
231,0.01953376,3.630781507,0.179233551
232,0.01954912,3.633636503,0.1804466248
233,0.01956448,3.636491498,0.1941604614
234,0.01957984,3.639346494,0.1991157532
235,0.0195952,3.64220149,0.1995353699
236,0.01961056,3.645056486,0.2073020935
237,0.01962592,3.647911482,0.214302063
238,0.01964128,3.650766478,0.2191772461
239,0.01965664,3.653621474,0.2252998352
240,0.019672,3.656476469,0.2299232483
241,0.01968736,3.659331465,0.2384185791
242,0.01970272,3.662186461,0.242351532
243,0.01971808,3.665041457,0.248588562
244,0.01973344,3.667896453,0.2552871704
245,0.0197488,3.670751449,0.2593574524
246,0.01976416,3.673606445,0.2651405334
247,0.01977952,3.67646144,0.2734642029
248,0.01979488,3.679316436,0.2827606201
249,0.01981024,3.682171432,0.2888641357
250,0.0198256,3.685026428,0.2977142334
251,0.01984096,3.687881424,0.2987251282
252,0.01985632,3.69073642,0.3118057251
253,0.01987168,3.693591416,0.315196991
254,0.01988704,3.696446412,0.323299408
255,0.0199024,3.699301407,0.335723877
256,0.01991776,3.702156403,0.3380203247
257,0.01993312,3.705011399,0.3576545715
258,0.01994848,3.707866395,0.363899231
259,0.01996384,3.710721391,0.3659591675
260,0.0199792,3.713576387,0.373336792
261,0.01999456,3.716431383,0.3803977966
262,0.02000992,3.719286378,0.3860054016
263,0.02002528,3.722141374,0.3952789307
264,0.02004064,3.72499637,0.4036064148
265,0.020056,3.727851366,0.4155807495
266,0.02007136,3.730706362,0.4259605408
267,0.02008672,3.733561358,0.4380187988
268,0.02010208,3.736416354,0.441734314
269,0.02011744,3.739271349,0.4487228394
270,0.0201328,3.742126345,0.4704093933
271,0.02014816,3.744981341,0.4726486206
272,0.02016352,3.747836337,0.480594635
273,0.02017888,3.750691333,0.4917373657
274,0.02019424,3.753546329,0.4980926514
275,0.0202096,3.756401325,0.5093841553
276,0.02022496,3.75925632,0.5235404968
277,0.02024032,3.762111316,0.5437049866
278,0.02025568,3.764966312,0.5394744873
279,0.02027104,3.767821308,0.5446548462
280,0.0202864,3.770676304,0.5668525696
281,0.02030176,3.7735313,0.5713424683
282,0.02031712,3.776386296,0.5810432434
283,0.02033248,3.779241291,0.5914649963
284,0.02034784,3.782096287,0.6056480408
285,0.0203632,3.784951283,0.6182823181
286,0.02037856,3.787806279,0.6220626831
287,0.02039392,3.790661275,0.6369361877
